pays,zip,city,id
FR,01300,NATTAGES,dom_cities_244
FR,01400,NEUVILLE LESDAMES,dom_cities_245
FR,01160,NEUVILLE SURAIN,dom_cities_246
FR,01130,NEYROLLES LES,dom_cities_247
FR,01700,NEYRON,dom_cities_248
FR,01120,NIEVROZ,dom_cities_249
FR,01230,NIVOLLET MONTGRIFFON,dom_cities_250
FR,01460,NURIEUX VOLOGNAT,dom_cities_251
FR,01230,ONCIEU,dom_cities_252
FR,01510,ORDONNAZ,dom_cities_253
FR,01210,ORNEX,dom_cities_254
FR,01430,OUTRIAZ,dom_cities_255
FR,01100,OYONNAX,dom_cities_256
FR,01190,OZAN,dom_cities_257
FR,01600,PARCIEUX,dom_cities_258
FR,01300,PARVES,dom_cities_259
FR,01630,PERON,dom_cities_260
FR,01960,PERONNAS,dom_cities_261
FR,01800,PEROUGES,dom_cities_262
FR,01540,PERREX,dom_cities_263
FR,01260,PETIT ABERGEMENT LE,dom_cities_264
FR,01430,PEYRIAT,dom_cities_265
FR,01300,PEYRIEU,dom_cities_266
FR,01140,PEYZIEUX SURSAONE,dom_cities_267
FR,01270,PIRAJOUX,dom_cities_268
FR,01120,PIZAY,dom_cities_269
FR,01130,PLAGNE,dom_cities_270
FR,01330,PLANTAY LE,dom_cities_271
FR,01130,POIZAT LE,dom_cities_272
FR,01310,POLLIAT,dom_cities_273
FR,01350,POLLIEU,dom_cities_274
FR,01450,PONCIN,dom_cities_275
FR,01160,PONT D AIN,dom_cities_276
FR,01190,PONT DE VAUX,dom_cities_277
FR,01290,PONT DE VEYLE,dom_cities_278
FR,01460,PORT,dom_cities_279
FR,01550,POUGNY,dom_cities_280
FR,01250,POUILLAT,dom_cities_281
FR,01300,PREMEYZEL,dom_cities_282
FR,01110,PREMILLIEU,dom_cities_283
FR,01370,PRESSIAT,dom_cities_284
FR,01280,PREVESSIN MOENS,dom_cities_285
FR,01160,PRIAY,dom_cities_286
FR,01510,PUGIEU,dom_cities_287
FR,01250,RAMASSE,dom_cities_288
FR,01390,RANCE,dom_cities_289
FR,01990,RELEVANT,dom_cities_290
FR,01750,REPLONGES,dom_cities_291
FR,01250,REVONNAS,dom_cities_292
FR,01600,REYRIEUX,dom_cities_293
FR,01190,REYSSOUZE,dom_cities_294
FR,01800,RIGNIEUX LE FRANC,dom_cities_295
FR,01400,ROMANS,dom_cities_296
FR,01510,ROSSILLON,dom_cities_297
FR,01260,RUFFIEU,dom_cities_298
FR,01270,SALAVRE,dom_cities_299
FR,01580,SAMOGNAT,dom_cities_300
FR,01400,SANDRANS,dom_cities_301
FR,01150,SAULT BRENAZ,dom_cities_302
FR,01220,SAUVERNY,dom_cities_303
FR,01480,SAVIGNEUX,dom_cities_304
FR,01170,SEGNY,dom_cities_305
FR,01470,SEILLONNAZ,dom_cities_306
FR,01630,SERGY,dom_cities_307
FR,01190,SERMOYER,dom_cities_308
FR,01470,SERRIERES DEBRIORD,dom_cities_309
FR,01450,SERRIERES SURAIN,dom_cities_310
FR,01960,SERVAS,dom_cities_311
FR,01560,SERVIGNAT,dom_cities_312
FR,01420,SEYSSEL,dom_cities_313
FR,01250,SIMANDRE SURSURAN,dom_cities_314
FR,01260,SONGIEU,dom_cities_315
FR,01580,SONTHONNAX LAMONTAGNE,dom_cities_316
FR,01150,SOUCLIN,dom_cities_317
FR,01450,ST ALBAN,dom_cities_318
FR,01290,ST ANDRE D HUIRIAT,dom_cities_319
FR,01380,ST ANDRE DE BAGE,dom_cities_320
FR,01390,ST ANDRE DE CORCY,dom_cities_321
FR,01240,ST ANDRE LE BOUCHOUX,dom_cities_322
FR,01960,ST ANDRE SURVIEUX JONC,dom_cities_323
FR,01190,ST BENIGNE,dom_cities_324
FR,01300,ST BENOIT,dom_cities_325
FR,01600,ST BERNARD,dom_cities_326
FR,01300,ST BOIS,dom_cities_327
FR,01300,ST CHAMP,dom_cities_328
FR,01380,ST CYR SUR MENTHON,dom_cities_329
FR,01500,ST DENIS EN BUGEY,dom_cities_330
FR,01000,ST DENIS LESBOURG,dom_cities_331
FR,01340,ST DIDIER D AUSSIAT,dom_cities_332
FR,01600,ST DIDIER DEFORMANS,dom_cities_333
FR,01140,ST DIDIER SURCHALARONNE,dom_cities_334
FR,01800,ST ELOI,dom_cities_335
FR,01370,ST ETIENNE DUBOIS,dom_cities_336
FR,01140,ST ETIENNE SUR CHALARONNE,dom_cities_337
FR,01190,ST ETIENNE SUR REYSSOUZE,dom_cities_338
FR,01630,ST GENIS POUILLY,dom_cities_339
FR,01380,ST GENIS SURMENTHON,dom_cities_340
FR,01400,ST GEORGES SUR RENON,dom_cities_341
FR,01130,ST GERMAIN DEJOUX,dom_cities_342
FR,01300,ST GERMAIN LES PAROISSES,dom_cities_343
FR,01240,ST GERMAIN SUR RENON,dom_cities_344
FR,01630,ST JEAN DE GONVILLE,dom_cities_345
FR,01800,ST JEAN DE NIOST,dom_cities_346
FR,01390,ST JEAN DE THURIGNEUX,dom_cities_347
FR,01640,ST JEAN LE VIEUX,dom_cities_348
FR,01560,ST JEAN SUR REYSSOUZE,dom_cities_349
FR,01290,ST JEAN SUR VEYLE,dom_cities_350
FR,01560,ST JULIEN SURREYSSOUZE,dom_cities_351
FR,01540,ST JULIEN SURVEYLE,dom_cities_352
FR,01250,ST JUST,dom_cities_353
FR,01750,ST LAURENT SUR SAONE,dom_cities_354
FR,01390,ST MARCEL,dom_cities_355
FR,01510,ST MARTIN DEBAVEL,dom_cities_356
FR,01430,ST MARTIN DUFRENE,dom_cities_357
FR,01160,ST MARTIN DUMONT,dom_cities_358
FR,01310,ST MARTIN LECHATEL,dom_cities_359
FR,01700,ST MAURICE DEBEYNOST,dom_cities_360
FR,01800,ST MAURICE DEGOURDANS,dom_cities_361
FR,01500,ST MAURICE DEREMENS,dom_cities_362
FR,01560,ST NIZIER LEBOUCHOUX,dom_cities_363
FR,01320,ST NIZIER LEDESERT,dom_cities_364
FR,01240,ST PAUL DE VARAX,dom_cities_365
FR,01230,ST RAMBERT ENBUGEY,dom_cities_366
FR,01310,ST REMY,dom_cities_367
FR,01150,ST SORLIN ENBUGEY,dom_cities_368
FR,01340,ST SULPICE,dom_cities_369
FR,01560,ST TRIVIER DECOURTES,dom_cities_370
FR,01990,ST TRIVIER SUR MOIGNANS,dom_cities_371
FR,01150,ST VULBAS,dom_cities_372
FR,01120,STE CROIX,dom_cities_373
FR,01600,STE EUPHEMIE,dom_cities_374
FR,01150,STE JULIE,dom_cities_375
FR,01330,STE OLIVE,dom_cities_376
FR,01400,SULIGNAT,dom_cities_377
FR,01420,SURJOUX,dom_cities_378
FR,01260,SUTRIEU,dom_cities_379
FR,01510,TALISSIEU,dom_cities_380
FR,01230,TENAY,dom_cities_381
FR,01110,THEZILLIEU,dom_cities_382
FR,01120,THIL,dom_cities_383
FR,01710,THOIRY,dom_cities_384
FR,01140,THOISSEY,dom_cities_385
FR,01230,TORCIEU,dom_cities_386
FR,01250,TOSSIAT,dom_cities_387
FR,01600,TOUSSIEUX,dom_cities_388
FR,01390,TRAMOYES,dom_cities_389
FR,01160,TRANCLIERE LA,dom_cities_390
FR,01370,TREFFORT CUISIAT,dom_cities_391
FR,01600,TREVOUX,dom_cities_392
FR,01140,VALEINS,dom_cities_393
FR,01660,VANDEINS,dom_cities_394
FR,01160,VARAMBON,dom_cities_395
FR,01150,VAUX EN BUGEY,dom_cities_396
FR,01270,VERJON,dom_cities_397
FR,01560,VERNOUX,dom_cities_398
FR,01330,VERSAILLEUX,dom_cities_399
FR,01210,VERSONNEX,dom_cities_400
FR,01170,VESANCY,dom_cities_401
FR,01560,VESCOURS,dom_cities_402
FR,01570,VESINES,dom_cities_403
FR,01260,VIEU,dom_cities_404
FR,01430,VIEU D IZENAVE,dom_cities_405
FR,01330,VILLARS LES DOMBES,dom_cities_406
FR,01150,VILLEBOIS,dom_cities_407
FR,01270,VILLEMOTIER,dom_cities_408
